month,rp_div,dp,dy,ep,de,svar,bm,ntis,tbl,lty,ltr,tms,dfy,infl
1961-02-01,0.022427742554889187,-3.485707018438072,-3.4591921286019147,-3.002692124489051,-0.483014893949021,5.474594e-4,0.5120227163,0.0194199043,0.0242,0.0392,0.02,0.015,0.008,0
1961-03-01,0.002025842455401032,-3.512621947969969,-3.487406604251356,-3.0471388301355518,-0.4654831178344173,4.149412e-4,0.5466798694,0.0227375905,0.0239,0.0397,-0.0037,0.015799999999999998,0.008,0
1961-04-01,0.01661834484485201,-3.5164571908393287,-3.512621947969969,-3.0574676023154597,-0.45898958852386895,0.0010092086,0.5450044938,0.02325925,0.0229,0.0391,0.0115,0.016200000000000003,0.007599999999999996,0
1961-05-01,-0.0304275157839741,-3.535415823437716,-3.5164571908393287,-3.082962205893633,-0.45245361754408353,4.043434e-4,0.5309162935,0.0224656554,0.0229,0.0397,-0.0046,0.0168,0.007399999999999997,0
1961-06-01,0.029644105857817387,-3.5061454411376034,-3.535415823437716,-3.0602707946915624,-0.4458746464460409,5.489074e-4,0.5408211006,0.0224821258,0.0233,0.0404,-0.0075,0.017099999999999997,0.006999999999999999,0
1961-07-01,0.01758230294778413,-3.534968467480539,-3.5026977828997445,-3.0903326993017153,-0.444635768178824,6.283737e-4,0.5244056311,0.0251796276,0.0224,0.0404,0.0035,0.018,0.0068000000000000005,0.0067114094
1961-08-01,-0.020922972217357966,-3.5510163375310713,-3.5315838488648454,-3.1075941344835956,-0.4434222030474758,4.062151e-4,0.5137928161,0.0254259102,0.0239,0.041,-0.0038,0.0171,0.006600000000000002,-0.0033333333
1961-09-01,0.025528318990325267,-3.5277101536730893,-3.5475921142174345,-3.085513036296195,-0.4421971173768945,8.224996e-4,0.5275167211,0.0249633869,0.0228,0.0403,0.0129,0.0175,0.0067000000000000046,0.0033444816
1961-10-01,0.03630440234857263,-3.54548719272386,-3.5175577822090713,-3.098247009067953,-0.44724018365590723,2.675088e-4,0.5254858507,0.0258359089,0.023,0.04,0.0071,0.017,0.007099999999999995,0
1961-11-01,0.0015057136895881903,-3.5740296124349937,-3.5354368568703585,-3.121903589527781,-0.45212602290721293,3.603902e-4,0.5126108647,0.0255706129,0.0248,0.0404,-0.002,0.0156,0.007199999999999998,0
1961-12-01,-0.03983381093738063,-3.567298994589347,-3.564079281581826,-3.110375589205707,-0.45692340538363985,3.369015e-4,0.5059222584,0.0223242879,0.026,0.0415,-0.0125,0.015500000000000003,0.0067999999999999935,0
1962-01-01,0.013774408861375678,-3.525376116800208,-3.5639876514593296,-3.053129975001692,-0.47224614179851565,8.115307e-4,0.5284285714,0.0247213553,0.0272,0.0419,-0.0014,0.014700000000000001,0.006599999999999995,0
1962-02-01,-0.007615662385141695,-3.538263561216242,-3.5221248824091793,-3.0509754607614297,-0.4872881004548125,2.650967e-4,0.522420733,0.0287833809,0.0273,0.0414,0.0103,0.014099999999999998,0.006499999999999999,0.0033333333
1962-03-01,-0.06419038841625391,-3.5290961105133265,-3.534973842294276,-3.027133174005181,-0.5019629365081454,2.794921e-4,0.5457245916,0.0240753041,0.0272,0.0398,0.0253,0.012600000000000004,0.006499999999999999,0
1962-04-01,-0.08934648936562754,-3.4618440377495467,-3.525817178366185,-2.9533272286116086,-0.5085168091379386,0.0010196908,0.5798626246,0.0251520924,0.0273,0.0394,0.0082,0.012099999999999996,0.006900000000000003,0.0033222591
1962-05-01,-0.08429886586305893,-3.3687105481556987,-3.4586245227734977,-2.8536470945002463,-0.5150634536554524,0.0109148391,0.6289943915,0.0277223552,0.0269,0.0393,0.0046,0.012400000000000001,0.007200000000000005,0
1962-06-01,0.05686864775066049,-3.2800713858951203,-3.3654528203335246,-2.7586227747378422,-0.5214486111572781,0.0061611302,0.6873574686,0.0264554418,0.0273,0.0401,-0.0076,0.012799999999999995,0.007400000000000004,0
1962-07-01,0.012462971484917804,-3.3384475535639053,-3.2768242364114872,-2.814498949634692,-0.523948603929213,0.0018434772,0.6452260298,0.0304859039,0.0292,0.0412,-0.0109,0.012,0.007100000000000002,0.0033112583
1962-08-01,-0.04967614575062114,-3.3504277358566252,-3.3352591450657068,-2.8239532391621722,-0.5264744966944529,8.019519e-4,0.6333103516,0.0293287512,0.0282,0.0401,0.0187,0.011899999999999997,0.007100000000000002,0
1962-09-01,0.0020633999870454467,-3.2977936397319607,-3.34720138292672,-2.7688636624999816,-0.5289299772319788,0.0011769981,0.6663442606,0.0306016141,0.0278,0.0398,0.0061,0.012000000000000004,0.007099999999999995,0.00330033
1962-10-01,0.09168130928734816,-3.294229877647271,-3.2897968532761315,-2.760153970220765,-0.5340759074265059,0.0034521082,0.654153314,0.0280945039,0.0274,0.0395,0.0084,0.0121,0.007100000000000002,0
1962-11-01,0.010923175891102796,-3.3830684582274926,-3.2863438510303573,-2.843933952222785,-0.5391345060047074,0.0012747828,0.5941783459,0.0248105069,0.0283,0.0396,0.0021,0.011300000000000004,0.007099999999999995,0
1962-12-01,0.044030591542747056,-3.388598789825834,-3.3751971852921283,-2.844529107480689,-0.5440696823451452,5.438823e-4,0.5916270511,0.0199680704,0.0287,0.0395,0.0035,0.0108,0.0068000000000000005,0
1963-01-01,-0.030545879803655543,-3.4334178801761572,-3.3854581867803626,-2.888871373462015,-0.5445465067141417,6.997698e-4,0.5649849894,0.0171362735,0.0291,0.0398,-1e-4,0.010700000000000001,0.006999999999999999,0
1963-02-01,0.031544481832949986,-3.4010574007926455,-3.4303337655820125,-2.8559635683675317,-0.5450938324251139,3.921329e-4,0.5819531179,0.0132367896,0.0292,0.04,8e-4,0.0108,0.006999999999999999,0
1963-03-01,0.043666354155354394,-3.4327861834730404,-3.397936256014024,-2.887222148993268,-0.5455640344797724,3.599355e-4,0.5875285706,0.014380171,0.0289,0.0401,9e-4,0.011199999999999998,0.006900000000000003,0.0032894737
1963-04-01,0.01163001122425063,-3.472428737037802,-3.4250487528820877,-2.9229985567589996,-0.5494301802788025,3.221604e-4,0.5587292741,0.0151994274,0.029,0.0405,-0.0012,0.0115,0.006600000000000002,0
1963-05-01,-0.02185201515209091,-3.4790215070127397,-3.4647965160813925,-2.9257267323159777,-0.5532947746967619,3.036557e-4,0.5516121932,0.014648533,0.0293,0.0406,0.0023,0.011299999999999998,0.0063,0
1963-06-01,-0.006009094234335911,-3.4509971370329398,-3.4714016403354035,-2.8939821307975744,-0.5570150062353653,2.610984e-4,0.5672815754,0.0182632029,0.0299,0.0407,0.0019,0.0108,0.006100000000000001,0.0032786885
1963-07-01,0.043709640955915265,-3.446032553469167,-3.4494982609092038,-2.8801536363219915,-0.565878917147176,5.297971e-4,0.5766216585,0.009318732,0.0318,0.0407,0.0031,0.008899999999999998,0.0058,0.0032679739
1963-08-01,-0.01341800496936272,-3.492088374953731,-3.4444906030502755,-2.9174949080582575,-0.5745934668954732,3.269086e-4,0.5498272363,0.0095200761,0.0332,0.0408,0.0021,0.007600000000000003,0.005400000000000002,0
1963-09-01,0.02818560286554734,-3.4794982320759136,-3.4905940463309673,-2.896246722339186,-0.5832515097367278,3.299103e-4,0.5472236248,0.010313262,0.0338,0.041,4e-4,0.007200000000000005,0.005299999999999999,0
1963-10-01,-0.012669422525337516,-3.500719906965083,-3.4690104353612834,-2.9229183999130286,-0.5778015070520545,5.035319e-4,0.5309640772,0.0102799661,0.0345,0.0415,-0.0026,0.006999999999999999,0.0051,0.003257329
1963-11-01,0.020841670684577936,-3.479701603877251,-3.490296650013647,-2.9073108119530877,-0.5723907919241631,0.0031101657,0.5342962213,0.0060125452,0.0352,0.0414,0.0051,0.006199999999999997,0.0051,0
1963-12-01,0.023011356504557563,-3.493579301687392,-3.4694297301066293,-2.926472842022812,-0.5671064596645802,2.735667e-4,0.5255914542,0.0089547303,0.0352,0.0417,-6e-4,0.006499999999999999,0.0050000000000000044,0.0032467532
1964-01-01,0.007144435812734747,-3.512851457449638,-3.486281434613509,-2.93987128575407,-0.5729801716955681,1.833411e-4,0.5106068709,0.0142935705,0.0352,0.0421,-0.0014,0.006899999999999996,0.004400000000000001,0
1964-02-01,0.011731922574710348,-3.5154663546594587,-3.5056496909649826,-2.9366633750842026,-0.5788029795752561,7.16995e-5,0.5011622966,0.0174079186,0.0353,0.0424,-0.0011,0.007100000000000002,0.004700000000000003,0
1964-03-01,0.003194334013191864,-3.5233263882808945,-3.508273163606737,-2.938883409321839,-0.5844429789590557,1.147114e-4,0.5236754417,0.0177832391,0.0354,0.0424,0.0037,0.006999999999999999,0.004500000000000004,0
1964-04-01,0.008666408009200629,-3.5222436644400412,-3.5161845699120917,-2.9330517573282666,-0.5891919071117745,2.547552e-4,0.5253031069,0.0207680034,0.0347,0.0423,0.0047,0.007599999999999996,0.004500000000000004,0
1964-05-01,0.013032094965977032,-3.5265820248205233,-3.5151948029823497,-2.9326879626309212,-0.593894062189602,2.257771e-4,0.5190357804,0.0211793163,0.0348,0.0422,0.005,0.007400000000000004,0.004400000000000001,0
1964-06-01,0.014806316861667463,-3.5358311076703943,-3.5195404845412437,-2.9373640533393788,-0.5984670543310152,3.978509e-4,0.5122068551,0.0205029799,0.0348,0.0419,0.0069,0.007100000000000002,0.004400000000000001,0.003236246
1964-07-01,-0.018459129058201445,-3.5455381969608655,-3.5274628579998777,-2.9447119185509427,-0.6008262784099225,1.989067e-4,0.5063607181,0.0213126914,0.0346,0.0421,8e-4,0.0075,0.004300000000000005,0.0032258065
1964-08-01,0.02494607925200844,-3.5208763843706956,-3.5372393941461704,-2.9177579006867047,-0.6031184836839908,4.259263e-4,0.5079429444,0.0206966751,0.035,0.0423,0.002,0.007299999999999994,0.0040999999999999995,-0.0032154341
1964-09-01,0.005152992783237616,-3.5409593240373143,-3.51264588523418,-2.9355689547169472,-0.6053903693203669,1.704974e-4,0.4865371214,0.0204031456,0.0353,0.0421,0.005,0.0068000000000000005,0.003999999999999997,0.0032258065
1964-10-01,-0.007717302522422691,-3.5408414898299077,-3.532796013398153,-2.9376590453516567,-0.6031824444782513,1.870439e-4,0.4878132588,0.0201157932,0.0357,0.0421,0.0043,0.006399999999999996,0.0038999999999999937,0
1964-11-01,9.243239038874214e-4,-3.527545780177462,-3.5327442795972885,-2.926562524399595,-0.600983255777867,2.128659e-4,0.4865037753,0.0191674784,0.0364,0.0422,0.0017,0.0058,0.003799999999999998,0.0032154341
1964-12-01,0.029087881232777963,-3.523415014386405,-3.5195136084801977,-2.9245785132977007,-0.598836501088704,3.512133e-4,0.4872273003,0.0230953694,0.0384,0.0423,0.003,0.0039000000000000007,0.003699999999999995,0
1965-01-01,-0.004255229208593318,-3.5493757531164403,-3.5167572267223384,-2.94772555265764,-0.6016502004588005,1.658128e-4,0.4717231907,0.0179038005,0.0381,0.0422,0.004,0.0040999999999999995,0.003700000000000002,0
1965-02-01,-0.01762272236615494,-3.541315672549926,-3.5428014720117886,-2.9368355668787887,-0.6044801056711373,3.931965e-4,0.4713994776,0.0148232673,0.0393,0.0424,0.0014,0.0030999999999999986,0.003700000000000002,0
1965-03-01,0.029836425526631467,-3.520112673677798,-3.5347451140224644,-2.9129079229185777,-0.6072047507592205,1.446203e-4,0.469489905,0.0191342809,0.0393,0.0422,0.0054,0.0029,0.003599999999999999,0.0032051282
1965-04-01,-0.01043006728446793,-3.5459656627175002,-3.5123001339410047,-2.9352489279638414,-0.610716734753659,1.627597e-4,0.4525593347,0.0147225723,0.0393,0.0422,0.0036,0.0029,0.003700000000000002,0.0031948882
1965-05-01,-0.051663435147156184,-3.5304403126866504,-3.538213685913182,-2.916256949682075,-0.6141833630045758,3.33764e-4,0.4546642848,0.0162450566,0.0389,0.0423,0.0018,0.0034000000000000002,0.003699999999999995,0
1965-06-01,0.010039646001488885,-3.472894129499897,-3.522747967063495,-2.8553296301059587,-0.6175644993939383,0.0018293746,0.4808589565,0.0175512226,0.038,0.0423,0.0047,0.004299999999999998,0.0039000000000000007,0.0063694268
1965-07-01,0.018503808691055258,-3.47985981068714,-3.466516045358013,-2.859070887114094,-0.6207889235730458,5.218656e-4,0.4733821762,0.0156274939,0.0384,0.0424,0.0022,0.0040000000000000036,0.0040000000000000036,0
1965-08-01,0.027676824899663062,-3.4958320984648275,-3.4735599796049694,-2.8718520997011083,-0.6239799987637191,1.075344e-4,0.4673608778,0.0156011883,0.0384,0.0428,-0.0013,0.004400000000000001,0.0039000000000000007,0
1965-09-01,0.0233286635914356,-3.521039004297507,-3.4895341122298764,-2.8939352360545527,-0.6271037682429539,2.991012e-4,0.4485374713,0.0168953899,0.0392,0.0433,-0.0034,0.0040999999999999995,0.0039000000000000007,0
1965-10-01,-0.011835630249806689,-3.540526610919355,-3.513548332568349,-2.906955162154852,-0.633571448764503,1.883791e-4,0.4344205991,0.017464193,0.0403,0.0433,0.0027,0.0029999999999999957,0.003699999999999995,0.003164557
1965-11-01,0.0055727982369349945,-3.5242886630168337,-3.5330916324318373,-2.8843859969757006,-0.6399026660411329,1.414189e-4,0.4408953111,0.0207624998,0.0409,0.0441,-0.0062,0.0032000000000000015,0.003500000000000003,0
1965-12-01,0.0011346112171022413,-3.52581972096878,-3.516908555719211,-2.8797179040988885,-0.6461018168698913,3.013655e-4,0.4306378062,0.0208375187,0.0438,0.045,-0.0078,0.0011999999999999997,0.0034000000000000002,0.0031545741
1966-01-01,-0.020793898777543424,-3.5233504169896577,-3.5184936808767073,-2.8749868390566853,-0.648363577932972,1.518044e-4,0.4243983284,0.0202786269,0.0459,0.0457,-0.0104,-2.0000000000000573e-4,0.0032000000000000015,0
